text-small,attach-card href,f-m-20,f-m-20 2,d-iblock href,d-iblock,d-iblock href 2,d-iblock 2
"06 Agt 2025
					09:35:06",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/a73f3488e8_0f1b285817.pdf,Laporan Bulanan Registrasi Pemegang Efek [],TOWR,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/deecbf2bde_468e2532db.pdf,20250806_TOWR_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31930585_lamp1.pdf,,
"21 Agt 2025
					11:00:25",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/46cdaf75b0_2c21b4532b.pdf,Rencana Penyelenggaraan Public Expose - Tahunan [],TOWR,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/2835c45b2a_ba3cfe0a76.pdf,20250821_TOWR_Public Expose_31934190_lamp1.pdf,,
"27 Agt 2025
					18:09:37",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/7b31abcb03_50cb7cb1b6.pdf,Penandatangan Addendum III (Perjanjian Kredit) atas Akta Perjanjian Kredit antara Protelindo dan Iforte sebagai Peminjam dan SUPR sebagai Penanggung dengan PT Bank Mandiri (Persero) Tbk [],TOWR,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/47cbfc2864_0dc937a2c6.pdf,20250827_TOWR_Laporan Informasi dan Fakta Material_31935544_lamp1.pdf,,
"07 Agt 2025
					20:56:35",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/75f1ef3328_f7f2596203.pdf,Laporan Bulanan Registrasi Pemegang Efek [],UNTR,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/aeb0d7b799_f96b67dd89.pdf,20250806_UNTR_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31930670_lamp1.pdf,,
"22 Agt 2025
					10:29:51",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/3450221ea3_a91c07f350.pdf,Rencana Penyelenggaraan Public Expose - Tahunan [],UNTR,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/e6adf6d49f_4e40c8a442.pdf,20250822_UNTR_Public Expose_31934464_lamp1.pdf,,
"29 Agt 2025
					20:49:33",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/20250829210121-57452-0/FinancialStatement-2025-II-UNTR.pdf,Penyampaian Laporan Keuangan Interim (KOREKSI) [],UNTR,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/20250829210121-57452-0/FinancialStatement-2025-II-UNTR.xlsx,FinancialStatement-2025-II-UNTR.xlsx,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/20250829210121-57452-0/FS%20UNTR%200625%20Limited%20Review.pdf,FS UNTR 0625 Limited Review.pdf
"07 Agt 2025
					13:26:18",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/de0986abfb_c9c16f7439.pdf,Laporan Kepemilikan Saham [],UNVR,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/c2db6eafe2_628cfc2a5c.pdf,20250806_UNVR_Pengumuman Bursa_31930815_lamp1.pdf,,
"08 Agt 2025
					17:35:12",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/d72455ccef_e81da2d43c.pdf,Laporan Bulanan Registrasi Pemegang Efek [],UNVR,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/12575446cb_cb280e281d.pdf,20250808_UNVR_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31931701_lamp2.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/c92c676b63_321132192d.pdf,20250808_UNVR_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31931701_lamp1.pdf
"11 Agt 2025
					12:00:30",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/5b6666b859_642589ce0d.pdf,Laporan Bulanan Registrasi Pemegang Efek (KOREKSI) [],UNVR,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/1c622b5d74_aad53c1e3d.pdf,20250811_UNVR_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31932064_lamp1.pdf,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/ef44b09907_69e70b0c38.pdf,20250811_UNVR_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31932064_lamp2.pdf
"13 Agt 2025
					17:00:15",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/03fb66233d_9aed6e11e0.pdf,Laporan Kepemilikan Saham [],UNVR,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/f797d39fba_43fd5c9c9a.pdf,20250813_UNVR_Pengumuman Bursa_31932659_lamp1.pdf,,
"01 Agt 2025
					13:43:57",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/ed6208b5ed_124449b005.pdf,Penghentian Sementara Perdagangan Efek [],,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/20095b13c5_c29295c3b4.pdf,20250731_Suspensi dan Pembukaan Suspensi_31928866_lamp1.pdf,,
"01 Agt 2025
					16:58:40",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/58b421c7bd_a6de36dc16.pdf,Pencabutan Efek Bersifat Ekuitas Dari Pemantauan Khusus [],,,,,
"01 Agt 2025
					17:00:58",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/40cdf19e1e_ffc8dd6b7f.pdf,Efek Bersifat Ekuitas Dalam Pemantauan Khusus [],,,,,
"01 Agt 2025
					17:01:27",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/6c7677adb6_aff59b9613.pdf,Perubahan Efek Bersifat Ekuitas Dalam Pemantauan Khusus [],,,,,
"01 Agt 2025
					18:00:04",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/82e41ef929_e23dfd88d5.pdf,Penghentian Sementara Perdagangan Efek [],,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/21590b4ea5_a2d38a3032.pdf,20250801_Suspensi dan Pembukaan Suspensi_31929265_lamp1.pdf,,
"01 Agt 2025
					18:02:18",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/acb3523485_692bd2d468.pdf,Penghentian Sementara Perdagangan Efek [],,https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/6b6cbfb2fe_e0468b3032.pdf,20250801_Suspensi dan Pembukaan Suspensi_31929277_lamp1.pdf,,
"04 Agt 2025
					16:13:14",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/23a211e558_35f00fa5ca.pdf,Pencabutan Efek Bersifat Ekuitas Dari Pemantauan Khusus [],,,,,
"05 Agt 2025
					16:41:12",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/bcb87feb64_cfa4e664b6.pdf,Efek Bersifat Ekuitas Dalam Pemantauan Khusus [],,,,,
"05 Agt 2025
					16:53:18",https://www.idx.co.id/StaticData/NewsAndAnnouncement/ANNOUNCEMENTSTOCK/From_EREP/202508/de2eaf3fc3_a4b3c01765.pdf,Pencabutan Efek Bersifat Ekuitas Dari Pemantauan Khusus [],,,,,
